0.03,3.69,3.69,3.90,3.59
0.04,3.94,3.90,3.91,3.93
0.05,4.28,4.25,4.33,4.25
0.06,4.47,4.41,4.50,4.56
0.07,4.75,4.81,4.65,4.88
0.08,4.94,4.97,4.88,4.94
0.09,5.22,5.25,5.20,5.00
0.10,5.50,5.59,5.68,5.50
0.12,5.88,5.91,5.93,5.81
0.15,6.50,6.65,6.59,6.50
0.17,6.97,6.94,6.94,6.97
0.20,7.32,7.38,7.44,7.44
